epoch,train_loss,val_iou,val_dice,learning_rate,duration_sec
1,0.6098490723216409,0.5755149126052856,0.720360517501831,0.0001,526.0733125209808
2,0.26678193838899583,0.6468193531036377,0.7789732813835144,0.0001,520.2723627090454
3,0.23270538877543656,0.6651744246482849,0.793400764465332,0.0001,520.088547706604
4,0.21384852193339424,0.6878244876861572,0.8107431530952454,0.0001,520.3666841983795
5,0.20006682213087204,0.7038711905479431,0.8230509161949158,0.0001,520.5140674114227
6,0.18971162898120414,0.712413489818573,0.8294084072113037,0.0001,520.3919231891632
7,0.18139485089997287,0.7223637104034424,0.8363028168678284,0.0001,520.4599070549011
8,0.17469451879015324,0.7293089032173157,0.8410518169403076,0.0001,520.601395368576
9,0.16825805021973725,0.7372986078262329,0.8467403054237366,0.0001,520.3203740119934
10,0.16389218669302127,0.7415241599082947,0.8497651219367981,0.0001,522.9451701641083
11,0.15879282132660494,0.7458779811859131,0.8526057004928589,0.0001,525.4338610172272
12,0.1556184633018812,0.7510604858398438,0.8562049865722656,0.0001,520.6878969669342
13,0.15163315379581346,0.7544676661491394,0.8585241436958313,0.0001,520.7670681476593
14,0.1481354319228592,0.7576799988746643,0.8606019616127014,0.0001,520.1010279655457
15,0.14506894846641336,0.7605082988739014,0.862503170967102,0.0001,519.927078962326
16,0.1422674139190026,0.7637563943862915,0.8646165728569031,0.0001,520.0199084281921
17,0.13940705188757618,0.7661661505699158,0.8661977052688599,0.0001,519.7419517040253
18,0.13712748725188934,0.7684652805328369,0.8676944971084595,0.0001,519.8007452487946
19,0.13455865736985567,0.7714133858680725,0.869634211063385,0.0001,520.4390592575073
20,0.13256598461501934,0.77351975440979,0.8709678649902344,0.0001,520.3381142616272
21,0.13004959600009328,0.7750771045684814,0.8720033168792725,0.0001,520.4699785709381
22,0.1284501825775538,0.776679515838623,0.8730303049087524,0.0001,520.0718793869019
23,0.12604224941972533,0.779447615146637,0.8747953772544861,0.0001,519.9441478252411
24,0.12436412617112125,0.7809664607048035,0.8757632374763489,0.0001,520.0068643093109
25,0.12248694707781876,0.7823868989944458,0.8766458630561829,0.0001,519.8623950481415
26,0.12058662260548932,0.7843707799911499,0.87790846824646,0.0001,520.1955299377441
27,0.11898981173160891,0.7856065630912781,0.8786557912826538,0.0001,519.8697464466095
28,0.11724724650487321,0.7870482206344604,0.8795677423477173,0.0001,520.2781546115875
29,0.11612115306573265,0.788225531578064,0.8803239464759827,0.0001,519.9547791481018
30,0.11437239723156185,0.7881518602371216,0.8802922964096069,0.0001,520.1672656536102
31,0.11292291877741296,0.790642261505127,0.8818266987800598,0.0001,520.0504143238068
